Order_ID,PDate,Status,Fulfilment,Sales_Channel ,ship_service_level,Style,SKU,Category,PSize,ASIN,Qty,currency,Amount,payment_by,ship_city,ship_state,ship_postal-code,ship_country,Label
172.217.12.142-10.42.0.42-80-49005-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3415,JNE3415-KR-XXXL,kurta,3XL,B082W8JXJ9,1,INR,299.0,Credit Card,BILASPUR,CHHATTISGARH,495001.0,IN,1
172.217.12.206-10.42.0.151-443-43494-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,PJNE2199,PJNE2199-KR-N-4XL,kurta,4XL,B09LD2W9XL,1,INR,459.0,Credit Card,PUNE,MAHARASHTRA,411052.0,IN,1
222.73.28.96-10.42.0.151-80-55805-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3567,JNE3567-KR-M,kurta,M,B08KRXV1QR,1,INR,399.0,Credit Card,BENGALURU,KARNATAKA,560037.0,IN,1
10.42.0.151-10.42.0.1-9594-53-17,04-30-22,Cancelled,Merchant,Amazon.in,Standard,JNE2132,JNE2132-KR-398-XXXL,kurta,3XL,B07JG3CND8,0,,,Credit Card,GUWAHATI,ASSAM,781003.0,IN,0
10.42.0.151-10.42.0.1-64887-53-17,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0341,J0341-DR-S,Western Dress,S,B099NR7612,1,INR,791.0,Credit Card,THIRUVARUR,TAMIL NADU,613704.0,IN,1
10.42.0.211-69.147.82.60-39054-443-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,MEN5009,MEN5009-KR-XL,kurta,XL,B08YYTCPYX,1,INR,499.0,Debit card,LUCKNOW,UTTAR PRADESH,226010.0,IN,0
10.42.0.151-76.13.28.196-53343-443-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0011,J0011-LCD-M,Set,M,B08B3YNJG5,1,INR,1233.0,Debit card,VISAKHAPATNAM,ANDHRA PRADESH,530016.0,IN,1
172.217.10.106-10.42.0.151-443-45984-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3766,JNE3766-KR-M,kurta,M,B09K3XR43V,1,INR,517.0,Debit card,JEYPUR,ODISHA,764001.0,IN,0
182.254.5.234-10.42.0.151-80-34165-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-XL,kurta,XL,B082W8BXW1,1,INR,376.0,Debit card,HYDERABAD,TELANGANA,500028.0,IN,1
10.42.0.151-10.42.0.1-23829-53-17,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,MEN5001,MEN5001-KR-XL,kurta,XL,B08YYRH2Q6,1,INR,499.0,Debit card,LUCKNOW,UTTAR PRADESH,226016.0,IN,0
192.229.173.173-10.42.0.211-80-44480-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET345,SET345-KR-NP-L,Set,L,B09KXT4VG7,1,INR,666.0,Credit Card,CHENNAI,TAMIL NADU,600033.0,IN,1
10.42.0.151-10.42.0.1-35001-53-17,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3787,JNE3787-KR-S,kurta,S,B09RKBXM5B,1,INR,487.0,Credit Card,NEW DELHI,DELHI,110092.0,IN,0
10.42.0.211-23.66.169.49-41289-80-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3543,JNE3543-KR-S,kurta,S,B08HHJP41L,1,INR,368.0,Debit card,NEW DELHI,DELHI,110092.0,IN,1
217.69.136.176-10.42.0.151-443-33474-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-L,kurta,L,B081WSCKPQ,1,INR,399.0,Debit card,THIRUVANANTHAPURAM,KERALA,695011.0,IN,0
10.42.0.211-10.42.0.1-14087-53-17,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0211,J0211-DR-XXL,Ethnic Dress,XXL,B09831VWD9,1,INR,699.0,Debit card,GREATER NOIDA,UTTAR PRADESH,201306.0,IN,1
180.76.152.13-10.42.0.151-80-51366-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0401,J0401-DR-XXXL,Western Dress,3XL,B09SDXZBGX,1,INR,885.0,Debit card,JABALPUR,MADHYA PRADESH,482002.0,IN,1
10.42.0.211-10.42.0.1-42220-53-17,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE2153,JNE2153-KR-278-A-M,kurta,M,B0794YR85H,1,INR,424.0,Credit Card,MUMBAI,MAHARASHTRA,400092.0,IN,0
172.217.10.3-10.42.0.151-443-36793-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET360,SET360-KR-NP-M,Set,M,B09QJM1D7F,1,INR,1126.0,Credit Card,LUCKNOW,UTTAR PRADESH,226017.0,IN,1
202.77.129.150-10.42.0.42-443-33853-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET268,SET268-KR-NP-L,Set,L,B08XQ8MCKP,1,INR,788.0,Credit Card,MUMBAI,MAHARASHTRA,400076.0,IN,0
10.42.0.211-66.198.24.225-53466-443-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET183,SET183-KR-DH-S,Set,S,B08B3Z38TJ,1,INR,759.0,Debit card,KOLKATA,WEST BENGAL,700014.0,IN,0
10.42.0.211-77.234.44.41-55258-80-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0230,J0230-SKD-L,Set,L,B08XNDL1DL,1,INR,1146.0,Debit card,ONGOLE,ANDHRA PRADESH,523001.0,IN,1
172.217.10.66-10.42.0.211-443-52234-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3744,JNE3744-TU-S,Top,S,B0986ZHR9D,1,INR,665.0,Credit Card,SECUNDERABAD,TELANGANA,500017.0,IN,1
157.240.2.25-10.42.0.211-443-57405-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3510,JNE3510-KR-S,kurta,S,B08WPTJBBD,1,INR,429.0,Credit Card,HYDERABAD,TELANGANA,500062.0,IN,0
216.58.219.202-10.42.0.211-443-39839-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405,JNE3405-KR-M,kurta,M,B081WVMMCY,1,INR,399.0,Credit Card,KEWALPUR,UTTAR PRADESH,271881.0,IN,1
183.79.250.123-10.42.0.42-80-37556-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0186,J0186-SET-S,Set,S,B091Z81MLX,1,INR,848.0,Credit Card,CUTTACK,ODISHA,753012.0,IN,0
10.42.0.151-72.21.206.141-36651-443-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0003,J0003-SET-M,Set,M,B0894XH3LN,1,INR,654.0,Credit Card,BADLAPUR,MAHARASHTRA,421503.0,IN,1
157.240.18.15-10.42.0.211-443-58041-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET282,SET282-KR-PP-M,Set,M,B09CTCDDQ4,1,INR,1033.0,Credit Card,dimapur,NAGALAND,797112.0,IN,0
216.58.219.195-10.42.0.42-443-42081-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE1407,JNE1407-BLACK-KR-UDF18-XL,kurta,XL,B01M4IAS51,1,INR,390.0,Credit Card,BENGALURU,KARNATAKA,560047.0,IN,1
10.42.0.211-10.42.0.1-12948-53-17,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0301,J0301-TP-L,Top,L,B099S6795L,1,INR,493.0,Credit Card,BENGALURU,KARNATAKA,560076.0,IN,0
10.42.0.211-107.23.222.87-41864-80-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3869,JNE3869-DR-S,Western Dress,S,B09RK67Y51,1,INR,721.0,Credit Card,WARANGAL,TELANGANA,506001.0,IN,0
169.47.5.236-10.42.0.42-5222-52140-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET324,SET324-KR-NP-XS,Set,XS,B09NQ4DD29,1,INR,597.0,Credit Card,DHAULPUR,RAJASTHAN,328024.0,IN,0
10.42.0.42-42.236.125.112-48503-80-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-L,kurta,L,B081WSCKPQ,1,INR,399.0,Credit Card,GUWAHATI,ASSAM,781029.0,IN,0
10.42.0.42-62.138.0.117-45174-80-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET279,SET279-LC-S,Set,S,B09CT6L67S,1,INR,888.0,Credit Card,Bengaluru,KARNATAKA,560103.0,IN,0
10.42.0.151-103.7.30.118-56209-80-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE2014,JNE2014-KR-178-XXL,kurta,XXL,B077MF72BK,1,INR,353.0,Debit card,HYDERABAD,TELANGANA,500072.0,IN,1
10.42.0.211-23.8.102.138-60486-443-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,NW005,NW005-ST-PJ-XL,Set,XL,B0922WJ27J,1,INR,599.0,Debit card,BENGALURU,KARNATAKA,560023.0,IN,1
162.208.22.39-10.42.0.211-443-49073-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE2270,JNE2270-KR-487-A-M,kurta,M,B07H7FZD32,1,INR,518.0,Credit Card,NAGPUR,MAHARASHTRA,440022.0,IN,0
172.217.9.234-10.42.0.42-443-38076-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3579,JNE3579-KR-M,kurta,M,B08QGK2BS2,1,INR,295.0,Credit Card,NAGPUR,MAHARASHTRA,440022.0,IN,0
10.42.0.211-10.42.0.1-34444-53-17,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET347,SET347-KR-NP-XS,Set,XS,B09RKFBMYD,1,INR,852.0,Debit card,GREATER NOIDA,UTTAR PRADESH,201306.0,IN,0
10.42.0.151-10.42.0.1-6271-53-17,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET264,SET264-KR-NP-M,Set,M,B08YN44FZJ,1,INR,824.0,Debit card,THANE,MAHARASHTRA,400607.0,IN,1
10.42.0.151-23.208.168.108-54198-443-6,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3373,JNE3373-KR-XXL,kurta,XXL,B082W8RWN1,0,,,Debit card,Dahod,Gujarat,389151.0,IN,1
10.42.0.151-10.42.0.1-26887-53-17,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET333,SET333-KR-DPT-XXL,Set,XXL,B09RKDZ461,1,INR,909.0,Debit card,RANCHI,JHARKHAND,834004.0,IN,1
10.42.0.211-52.6.206.34-45352-443-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3645,JNE3645-TP-N-L,Top,L,B08ZHNGS54,1,INR,432.0,Credit Card,PUNE,MAHARASHTRA,411014.0,IN,1
10.42.0.151-10.42.0.1-45636-53-17,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET233,SET233-KR-PP-L,Set,L,B08MXF6MZF,1,INR,545.0,Credit Card,BENGALURU,KARNATAKA,560040.0,IN,1
157.240.2.35-10.42.0.42-80-45534-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0381,J0381-SKD-XXXL,Set,3XL,B09M6VGNX8,1,INR,1146.0,Credit Card,VIJAPURA,KARNATAKA,586201.0,IN,0
220.181.7.190-10.42.0.42-443-40568-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3068,JNE3068-KR-A-XL,kurta,XL,B07H7F97S4,1,INR,696.0,Credit Card,CHENNAI,TAMIL NADU,600041.0,IN,1
10.42.0.42-123.125.115.164-39500-443-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3718,JNE3718-KR-M,kurta,M,B099FB63Q6,1,INR,432.0,Credit Card,MUMBAI,MAHARASHTRA,400080.0,IN,0
10.42.0.211-10.42.0.1-27938-53-17,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET386,SET386-KR-NP-S,Set,S,B09K3YFPSS,1,INR,631.0,Cash,bangalore,KARNATAKA,560001.0,IN,0
203.90.242.126-10.42.0.211-80-56368-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3745,JNE3745-KR-XXL,kurta,XXL,B09K3WDYB6,1,INR,316.0,Cash,BENGALURU,KARNATAKA,560098.0,IN,0
172.217.10.42-10.42.0.211-443-54248-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3467,JNE3467-KR-XL,kurta,XL,B08CDQKS84,1,INR,362.0,Cash,BERHAMPUR,ODISHA,760002.0,IN,1
172.217.3.97-10.42.0.42-443-50689-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3721,JNE3721-KR-L,kurta,L,B099FBM4FZ,1,INR,329.0,Credit Card,HYDERABAD,TELANGANA,500085.0,IN,0
202.77.129.150-10.42.0.211-80-35469-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-XXL,kurta,XXL,B081WSL2JS,1,INR,399.0,Credit Card,PUNE,MAHARASHTRA,411045.0,IN,1
10.42.0.1-10.42.0.42-53-3474-17,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET295,SET295-KR-NP-XXXL,Set,3XL,B09PN3GVMZ,1,INR,751.0,Credit Card,TEZPUR,ASSAM,784001.0,IN,0
172.217.3.104-10.42.0.42-443-52092-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3861,JNE3861-DR-XL,Western Dress,XL,B09SDZ14KR,1,INR,791.0,Debit card,HIMMATNAGAR,Gujarat,383001.0,IN,1
10.42.0.151-31.13.80.52-57082-443-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET288,SET288-KR-NP-XXXL,Set,3XL,B09M6STTBC,1,INR,684.0,Debit card,Kolkata,WEST BENGAL,700048.0,IN,0
174.35.73.77-10.42.0.211-80-50428-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET394,SET394-KR-NP-XXXL,Set,3XL,B09TH6R8K4,1,INR,1281.0,Debit card,Kolkata,WEST BENGAL,700048.0,IN,1
172.217.12.174-10.42.0.151-443-34277-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET397,SET397-KR-NP-XXXL,Set,3XL,B09RKDPH6J,1,INR,1186.0,Debit card,Kolkata,WEST BENGAL,700048.0,IN,1
10.42.0.211-77.234.44.199-54351-80-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,MEN5002,MEN5002-KR-XXL,kurta,XXL,B08YZ1HZ7B,1,INR,499.0,Credit Card,HYDERABAD,TELANGANA,502032.0,IN,0
10.42.0.211-115.239.210.141-51354-443-6,04-30-22,Cancelled,Merchant,Amazon.in,Standard,SET377,SET377-KR-NP-M,Set,M,B09TZV23QS,0,INR,1105.36,Credit Card,DEHRADUN,UTTARAKHAND,248001.0,IN,1
10.42.0.211-10.42.0.1-16702-53-17,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3510,JNE3510-KR-M,kurta,M,B08WPR5MCB,0,,,Credit Card,HYDERABAD,TELANGANA,500072.0,IN,0
220.181.7.190-10.42.0.211-443-39236-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,BTM038,BTM038-PP-XXXL,Bottom,3XL,B08KR9JYNQ,1,INR,377.0,Credit Card,KOLKATA,WEST BENGAL,700078.0,IN,0
183.79.253.231-10.42.0.211-443-50052-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0343,J0343-DR-M,Western Dress,M,B0982ZJ666,1,INR,744.0,Credit Card,DHARMAPURI,TAMIL NADU,636705.0,IN,1
172.217.12.163-10.42.0.211-443-33652-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0341,J0341-DR-XL,Western Dress,XL,B099NQJZPQ,1,INR,744.0,Credit Card,DEHRADUN,UTTARAKHAND,248005.0,IN,1
172.217.3.106-10.42.0.42-443-50929-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0295,J0295-DR-XXL,Western Dress,XXL,B099NSGTJ9,1,INR,859.0,Credit Card,JAIPUR,RAJASTHAN,303905.0,IN,0
183.79.17.108-10.42.0.151-443-60432-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3560,JNE3560-KR-M,kurta,M,B08PCVMF6R,1,INR,487.0,Credit Card,VADODARA,Gujarat,390019.0,IN,1
10.42.0.211-23.194.142.7-36995-443-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0333,J0333-DR-XXXL,Western Dress,3XL,B0983121HP,1,INR,825.0,Credit Card,CHAVAKKAD,KERALA,680506.0,IN,0
172.217.6.196-10.42.0.42-443-52766-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET389,SET389-KR-NP-M,Set,M,B09KXTTVB5,1,INR,680.0,Credit Card,PATNA,BIHAR,800026.0,IN,1
180.149.136.194-10.42.0.211-80-37465-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3801,JNE3801-KR-XXXL,kurta,3XL,B09SDYSR1F,1,INR,725.0,Credit Card,CHENNAI,TAMIL NADU,600028.0,IN,0
10.42.0.211-23.21.95.195-45473-443-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET098,SET098-KR-PP-M,Set,M,B07X3K4L82,1,INR,696.0,Credit Card,VADODARA,Gujarat,390018.0,IN,1
219.142.78.162-10.42.0.211-80-57083-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,MEN5013,MEN5013-KR-L,kurta,L,B08YYR9G96,1,INR,499.0,Debit card,VADODARA,Gujarat,390003.0,IN,0
157.240.18.35-10.42.0.211-443-45094-6,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-L,kurta,L,B081WSCKPQ,0,,,Debit card,PUNE,MAHARASHTRA,411046.0,IN,0
203.205.158.66-10.42.0.151-80-55438-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,J0003,J0003-SET-L,Set,L,B0894Y4PNG,1,INR,696.0,Debit card,Jammu,JAMMU & KASHMIR,180011.0,IN,0
198.11.188.75-10.42.0.151-443-38415-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3718,JNE3718-KR-XXXL,kurta,3XL,B099NJ1WVX,1,INR,406.0,Debit card,bangalore,KARNATAKA,560026.0,IN,0
216.58.217.99-10.42.0.42-443-60673-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET347,SET347-KR-NP-S,Set,S,B09RKDJ9SQ,1,INR,852.0,Debit card,NEW DELHI,DELHI,110036.0,IN,0
162.208.22.39-10.42.0.211-443-37016-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3405,JNE3405-KR-XXL,kurta,XXL,B081WSL2JS,1,INR,399.0,Credit Card,NARNAUND,HARYANA,125039.0,IN,1
10.42.0.151-10.42.0.1-6031-53-17,04-30-22,Shipped,Amazon,Amazon.in,Expedited,JNE3391,JNE3391-KR-XXL,kurta,XXL,B081WYHTF2,1,INR,432.0,Credit Card,Ahmedabad,Gujarat,380051.0,IN,1
10.42.0.151-10.42.0.1-25467-53-17,04-30-22,Cancelled,Amazon,Amazon.in,Expedited,SET347,SET347-KR-NP-S,Set,S,B09RKDJ9SQ,0,,,Debit card,NEW DELHI,DELHI,110036.0,IN,0
180.149.136.194-10.42.0.211-443-49673-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET277,SET277-KR-NP-XXL,Set,XXL,B0983FZLXC,1,INR,1338.0,Debit card,AMBARNATH,MAHARASHTRA,421502.0,IN,0
10.42.0.151-63.250.200.63-45857-443-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0293,J0293-DR-S,Western Dress,S,B099NQ1SKZ,1,INR,472.0,Debit card,GWALIOR,MADHYA PRADESH,474005.0,IN,0
10.42.0.42-47.89.69.217-54360-443-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET268,SET268-KR-NP-L,Set,L,B08XQ8MCKP,1,INR,788.0,Debit card,NEW DELHI,DELHI,110078.0,IN,1
169.45.248.122-10.42.0.151-5222-56368-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,SET154,SET154-KR-NP-XL,Set,XL,B082PXMCZ4,1,INR,832.0,Credit Card,ROHTAK,HARYANA,124001.0,IN,1
10.42.0.211-72.247.70.190-47957-80-6,04-30-22,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3439,JNE3439-KR-XL,kurta,XL,B081X4KQ14,1,INR,399.0,Credit Card,ROHTAK,HARYANA,124001.0,IN,1
10.42.0.211-104.97.95.172-34742-80-6,04-30-22,Shipped,Amazon,Amazon.in,Expedited,SET291,SET291-KR-PP-XL,Set,XL,B099NJV9X7,1,INR,599.0,Credit Card,ROHTAK,HARYANA,124001.0,IN,1
